f_Hz,I,Q
6.996651340000000000e+09,2.404864534966690004e-01,8.694621695063282640e-01
6.996658480000000000e+09,2.415320259816423898e-01,8.701510202473805577e-01
6.996665620000000000e+09,2.439175674313652231e-01,8.719526789691134372e-01
6.996672760000000000e+09,2.497022810560138861e-01,8.682514081690140273e-01
6.996679900000000000e+09,2.480097109364111096e-01,8.675275726237315910e-01
6.996687040000000000e+09,2.516030783940685911e-01,8.647440404452875207e-01
6.996694180000000000e+09,2.554792785617906459e-01,8.672644376623082074e-01
6.996701320000000000e+09,2.545847009680143325e-01,8.650076568745390659e-01
6.996708460000000000e+09,2.575689174068965803e-01,8.665609189157936765e-01
6.996715600000000000e+09,2.600526760249115554e-01,8.642016547268165372e-01
6.996722740000000000e+09,2.619977351791153986e-01,8.671580007262095213e-01
6.996729880000000000e+09,2.614574718398383069e-01,8.590927362807158074e-01
6.996737020000000000e+09,2.660962543022953319e-01,8.618427081929972422e-01
6.996744160000000000e+09,2.706969800473222332e-01,8.635712648500281086e-01
6.996751300000000000e+09,2.669193627585356166e-01,8.604743682396710502e-01
6.996758440000000000e+09,2.737656864935475443e-01,8.589539133235744028e-01
6.996765580000000000e+09,2.743178388155896319e-01,8.593640602020616859e-01
6.996772720000000000e+09,2.748273308272789484e-01,8.564885803461429470e-01
6.996779860000000000e+09,2.821411673347351545e-01,8.588340156330017683e-01
6.996787000000000000e+09,2.816938286460536900e-01,8.628197551767459172e-01
6.996794140000000000e+09,2.797986093393528551e-01,8.595666703883363402e-01
6.996801280000000000e+09,2.843729910606937472e-01,8.543914168860362590e-01
6.996808420000000000e+09,2.874029933747307419e-01,8.541906317677173677e-01
6.996815560000000000e+09,2.878965803203409890e-01,8.544507875801549135e-01
6.996822700000000000e+09,2.916633608525111554e-01,8.565870544496403394e-01
6.996829840000000000e+09,2.921867574428226866e-01,8.522482761900515014e-01
6.996836980000000000e+09,2.956753856300379790e-01,8.518188636820802628e-01
6.996844120000000000e+09,2.992378714305003462e-01,8.542719492646737578e-01
6.996851260000000000e+09,2.970282654588515814e-01,8.535299262413420518e-01
6.996858400000000000e+09,3.008034495425848664e-01,8.503462085552588867e-01
6.996865540000000000e+09,3.014869488574440370e-01,8.481465731331724323e-01
6.996872680000000000e+09,3.046832925412193416e-01,8.465659169368757730e-01
6.996879820000000000e+09,3.040683490912147735e-01,8.475457767006290277e-01
6.996886960000000000e+09,3.072968988121630440e-01,8.437560924722606881e-01
6.996894100000000000e+09,3.100746460691815032e-01,8.489852255029730621e-01
6.996901240000000000e+09,3.142748646496651976e-01,8.454890011180901110e-01
6.996908380000000000e+09,3.167768334333506131e-01,8.469701671030983592e-01
6.996915520000000000e+09,3.138471307185596859e-01,8.489977864339220970e-01
6.996922660000000000e+09,3.169114335902448176e-01,8.468557237182363640e-01
6.996929800000000000e+09,3.217997830898397527e-01,8.414510961542140954e-01
6.996936940000000000e+09,3.185251112845972621e-01,8.447305343140388834e-01
6.996944080000000000e+09,3.235862932082633203e-01,8.445414569806625193e-01
6.996951220000000000e+09,3.263194394506164220e-01,8.399617716201591699e-01
6.996958360000000000e+09,3.310281127121025291e-01,8.387716667426891037e-01
6.996965500000000000e+09,3.318916399282457741e-01,8.396776859675213478e-01
6.996972640000000000e+09,3.318558254045817502e-01,8.359080644984127062e-01
6.996979780000000000e+09,3.337691821665678127e-01,8.412612537967623094e-01
6.996986920000000000e+09,3.360006773110113532e-01,8.327129592627605659e-01
6.996994060000000000e+09,3.415415043831314112e-01,8.345090041838847394e-01
6.997001200000000000e+09,3.396304073563348735e-01,8.353774490162221289e-01
6.997008340000000000e+09,3.418697332013435064e-01,8.346513925787399923e-01
6.997015480000000000e+09,3.451715248242504530e-01,8.346218285191906450e-01
6.997022620000000000e+09,3.462126653963554235e-01,8.340115156004802577e-01
6.997029760000000000e+09,3.480460952324797574e-01,8.322154564662435083e-01
6.997036900000000000e+09,3.481975755414792317e-01,8.340855377481977140e-01
6.997044040000000000e+09,3.523862927107029863e-01,8.266971187879678107e-01
6.997051180000000000e+09,3.535043696543749836e-01,8.301346683121684222e-01
6.997058320000000000e+09,3.587045457058963827e-01,8.278599736969483036e-01
6.997065460000000000e+09,3.596577777882425386e-01,8.287033322857405571e-01
6.997072600000000000e+09,3.602811677513282906e-01,8.280240044227681340e-01
6.997079740000000000e+09,3.636426057826141478e-01,8.248980214584259452e-01
6.997086880000000000e+09,3.636010189677044702e-01,8.245739894859898111e-01
6.997094020000000000e+09,3.683584417215579054e-01,8.265702816402296094e-01
6.997101160000000000e+09,3.682153284508246083e-01,8.248074525086184217e-01
6.997108300000000000e+09,3.713633295274719748e-01,8.218680845272302582e-01
6.997115440000000000e+09,3.695837053141247108e-01,8.264226129589301584e-01
6.997122580000000000e+09,3.748262596953551573e-01,8.260704427188422239e-01
6.997129720000000000e+09,3.727223710458105743e-01,8.176314240873601147e-01
6.997136860000000000e+09,3.739924640567504621e-01,8.202592043014595991e-01
6.997144000000000000e+09,3.794169649465705674e-01,8.237678707384445964e-01
6.997151140000000000e+09,3.801873054496138216e-01,8.194069471693038453e-01
6.997158280000000000e+09,3.842749445556661314e-01,8.173655371725681018e-01
6.997165420000000000e+09,3.903944579960517691e-01,8.155865674685245370e-01
6.997172560000000000e+09,3.861980227923784703e-01,8.139945523918427073e-01
6.997179700000000000e+09,3.885685161942213917e-01,8.137211652388285366e-01
6.997186840000000000e+09,3.921805464493560156e-01,8.121089815888372643e-01
6.997193980000000000e+09,3.947074925002636014e-01,8.137594931897370598e-01
6.997201120000000000e+09,3.953187645187342669e-01,8.105275936796212388e-01
6.997208260000000000e+09,3.972082013123919841e-01,8.094908090525713140e-01
6.997215400000000000e+09,4.009718390235759156e-01,8.070129864610214865e-01
6.997222540000000000e+09,4.025519365861904286e-01,8.083573065590753393e-01
6.997229680000000000e+09,4.013883261594335394e-01,8.057024021569466621e-01
6.997236820000000000e+09,4.052392112763160692e-01,8.061582830526113908e-01
6.997243960000000000e+09,4.074083745582187666e-01,8.076275289975449745e-01
6.997251100000000000e+09,4.071673807127412226e-01,8.052948366657126655e-01
6.997258240000000000e+09,4.117328907077895672e-01,8.045864988218193181e-01
6.997265380000000000e+09,4.114324668717345146e-01,8.032982615047892239e-01
6.997272520000000000e+09,4.170259766622921305e-01,8.017084305223611818e-01
6.997279660000000000e+09,4.173990859348471472e-01,8.003343875455570799e-01
6.997286800000000000e+09,4.191222367432455576e-01,7.989673597652798831e-01
6.997293940000000000e+09,4.196898668963409129e-01,8.000900952591950555e-01
6.997301080000000000e+09,4.225612653330974577e-01,7.953872290830303893e-01
6.997308220000000000e+09,4.207278067180206249e-01,7.992159572600754380e-01
6.997315360000000000e+09,4.243835430369075068e-01,7.955764249855321602e-01
6.997322500000000000e+09,4.292933320230611915e-01,7.929795756462139078e-01
6.997329640000000000e+09,4.262300399935082806e-01,7.924623399874322072e-01
6.997336780000000000e+09,4.340981314260249913e-01,7.910452525140483360e-01
6.997343920000000000e+09,4.308286718510801472e-01,7.916731901860928344e-01
6.997351060000000000e+09,4.377484938128141101e-01,7.888655748627955155e-01
6.997358200000000000e+09,4.364563678204382846e-01,7.915289441404348425e-01
6.997365340000000000e+09,4.416158737060379424e-01,7.866197586534843245e-01
6.997372480000000000e+09,4.422284996898382392e-01,7.825712787963323702e-01
6.997379620000000000e+09,4.407998007431094822e-01,7.845825397713664939e-01
6.997386760000000000e+09,4.482768006238063707e-01,7.809506334877180933e-01
6.997393900000000000e+09,4.505651006408406545e-01,7.838059990236384555e-01
6.997401040000000000e+09,4.494514019938874450e-01,7.849170321558011088e-01
6.997408180000000000e+09,4.509346385877558983e-01,7.830021305644675467e-01
6.997415320000000000e+09,4.530603219689635086e-01,7.779342386504667362e-01
6.997422460000000000e+09,4.533254530736247068e-01,7.779826222984512762e-01
6.997429600000000000e+09,4.593667417252579876e-01,7.819570201445149582e-01
6.997436740000000000e+09,4.579756951307134560e-01,7.779242975485818334e-01
6.997443880000000000e+09,4.608491009046111198e-01,7.761779315854001604e-01
6.997451020000000000e+09,4.612529752670914140e-01,7.771591328951903410e-01
6.997458160000000000e+09,4.634735834974748059e-01,7.788246939197176477e-01
6.997465300000000000e+09,4.640545079839330511e-01,7.753794485875257214e-01
6.997472440000000000e+09,4.710063841711567556e-01,7.719271054413922029e-01
6.997479580000000000e+09,4.700644080325809826e-01,7.712145027102339512e-01
6.997486720000000000e+09,4.741828061574550057e-01,7.705910118051293445e-01
6.997493860000000000e+09,4.741540256994317137e-01,7.669780513645986231e-01
6.997501000000000000e+09,4.746130086339550580e-01,7.649274715659108992e-01
6.997508140000000000e+09,4.772209017166654244e-01,7.659861325176119395e-01
6.997515280000000000e+09,4.786242758265618069e-01,7.628179929973344375e-01
6.997522420000000000e+09,4.816291227522722096e-01,7.634155244853968458e-01
6.997529560000000000e+09,4.827291302427356157e-01,7.625515774386307788e-01
6.997536700000000000e+09,4.847442644187591188e-01,7.658571315230561227e-01
6.997543840000000000e+09,4.844493788029096137e-01,7.582835211224037142e-01
6.997550980000000000e+09,4.874532248741830220e-01,7.585474413248229908e-01
6.997558120000000000e+09,4.942333804803301089e-01,7.572626403705017273e-01
6.997565260000000000e+09,4.914390995702943021e-01,7.572609180033431642e-01
6.997572400000000000e+09,4.925276228976271931e-01,7.572696150578320795e-01
6.997579540000000000e+09,4.971626433555879077e-01,7.529798822651952994e-01
6.997586680000000000e+09,5.011526429638506475e-01,7.510976361415026004e-01
6.997593820000000000e+09,4.972780774131382309e-01,7.482332125028510195e-01
6.997600960000000000e+09,5.016150212886770765e-01,7.484313153091930459e-01
6.997608100000000000e+09,5.026118023060336393e-01,7.501204879029850225e-01
6.997615240000000000e+09,5.021956063160579742e-01,7.478975678303780850e-01
6.997622380000000000e+09,5.090271239279752225e-01,7.445288529603979466e-01
6.997629520000000000e+09,5.093478872965855331e-01,7.445624068862063405e-01
6.997636660000000000e+09,5.113730348224549971e-01,7.441138761901369136e-01
6.997643800000000000e+09,5.115587675750444818e-01,7.437960379426065138e-01
6.997650940000000000e+09,5.158040536388718289e-01,7.403343961326707134e-01
6.997658080000000000e+09,5.156448328469839248e-01,7.397475579793714173e-01
6.997665220000000000e+09,5.182644028469326480e-01,7.353335637818538828e-01
6.997672360000000000e+09,5.181583009395408501e-01,7.353843919695002285e-01
6.997679500000000000e+09,5.197650538741704906e-01,7.396340535336329847e-01
6.997686640000000000e+09,5.266885756657039286e-01,7.307285208499049167e-01
6.997693780000000000e+09,5.248213628881466253e-01,7.331300912862356300e-01
6.997700920000000000e+09,5.282347932352410291e-01,7.329396940141957861e-01
6.997708060000000000e+09,5.293975038757349205e-01,7.304428998078217328e-01
6.997715200000000000e+09,5.303942306826738839e-01,7.282602760468315228e-01
6.997722340000000000e+09,5.320698117463912302e-01,7.284341112052541423e-01
6.997729480000000000e+09,5.361528798693431241e-01,7.272206912105785293e-01
6.997736620000000000e+09,5.360937210334999481e-01,7.257354095517354331e-01
6.997743760000000000e+09,5.381970632240722363e-01,7.208079029601091037e-01
6.997750900000000000e+09,5.403446328102861074e-01,7.229268550150071970e-01
6.997758040000000000e+09,5.444511825951220407e-01,7.201644157659583545e-01
6.997765180000000000e+09,5.452548934402716707e-01,7.194267835013132828e-01
6.997772320000000000e+09,5.464524990445265296e-01,7.196184453710929851e-01
6.997779460000000000e+09,5.463512964348067324e-01,7.190828115244310981e-01
6.997786600000000000e+09,5.465033484107685302e-01,7.182263753853900257e-01
6.997793740000000000e+09,5.529528904899971842e-01,7.140660605705362318e-01
6.997800880000000000e+09,5.547709600563848209e-01,7.155275480653668918e-01
6.997808020000000000e+09,5.543385667826388197e-01,7.146422336749287396e-01
6.997815160000000000e+09,5.574833439430588733e-01,7.131778610571581911e-01
6.997822300000000000e+09,5.597397221944753198e-01,7.122884882323418099e-01
6.997829440000000000e+09,5.616141242350407570e-01,7.078165048999516262e-01
6.997836580000000000e+09,5.635670932106779940e-01,7.063530637216549612e-01
6.997843720000000000e+09,5.625833058701833478e-01,7.069394163134984366e-01
6.997850860000000000e+09,5.682923383053729571e-01,7.011387721731034972e-01
6.997858000000000000e+09,5.645346859459785538e-01,7.028676928762300768e-01
6.997865140000000000e+09,5.705144187923260057e-01,6.999592275847026368e-01
6.997872280000000000e+09,5.715395505283925592e-01,6.988487637367351013e-01
6.997879420000000000e+09,5.740572437942471629e-01,6.946637831550459552e-01
6.997886560000000000e+09,5.778239391548971593e-01,6.949206558412823753e-01
6.997893700000000000e+09,5.787883205529761321e-01,6.952101392134317770e-01
6.997900840000000000e+09,5.752801652688309675e-01,6.955718540613922141e-01
6.997907980000000000e+09,5.759418401320108849e-01,6.943132471322313037e-01
6.997915120000000000e+09,5.826991926766440510e-01,6.907052001885986003e-01
6.997922260000000000e+09,5.807791803741363390e-01,6.890143356653765094e-01
6.997929400000000000e+09,5.845257367844022278e-01,6.862530001732309870e-01
6.997936540000000000e+09,5.879688889063935386e-01,6.872348912616207395e-01
6.997943680000000000e+09,5.847382620032525180e-01,6.844452019168310031e-01
6.997950820000000000e+09,5.855398472389528042e-01,6.846566527001207714e-01
6.997957960000000000e+09,5.920098786438574567e-01,6.854471148535777880e-01
6.997965100000000000e+09,5.933090381757329945e-01,6.803721664756218201e-01
6.997972240000000000e+09,5.944551517050888911e-01,6.759296854427381263e-01
6.997979380000000000e+09,5.967478168031301600e-01,6.756844594227235934e-01
6.997986520000000000e+09,5.966711957782254716e-01,6.729659040440445494e-01
6.997993660000000000e+09,5.970842004952700011e-01,6.719582753649964157e-01
6.998000800000000000e+09,6.014943168276282170e-01,6.754275734182758617e-01
6.998007940000000000e+09,6.015981135678756253e-01,6.717291136718884781e-01
6.998015080000000000e+09,6.019659322171304616e-01,6.666884171584480656e-01
6.998022220000000000e+09,6.079730726906601435e-01,6.694831941044634416e-01
6.998029360000000000e+09,6.085451730256450364e-01,6.691380185245485723e-01
6.998036500000000000e+09,6.111847234029845755e-01,6.643330166014842497e-01
6.998043640000000000e+09,6.100942010612848687e-01,6.621304212723242433e-01
6.998050780000000000e+09,6.124552187839037432e-01,6.612314070839746538e-01
6.998057920000000000e+09,6.134692087761042245e-01,6.608932391047053212e-01
6.998065060000000000e+09,6.153873748149411016e-01,6.600159153281272006e-01
6.998072200000000000e+09,6.192422355599734862e-01,6.595064240175556591e-01
6.998079340000000000e+09,6.189736213106040719e-01,6.579670090833079632e-01
6.998086480000000000e+09,6.229372357514367797e-01,6.563069499982880917e-01
6.998093620000000000e+09,6.245875216182735779e-01,6.550480820094908285e-01
6.998100760000000000e+09,6.296386044287816119e-01,6.520290983210279556e-01
6.998107900000000000e+09,6.244803352561594245e-01,6.460205590319485491e-01
6.998115040000000000e+09,6.307166992898827207e-01,6.471904379461326240e-01
6.998122180000000000e+09,6.304342421564600452e-01,6.464441246211217740e-01
6.998129320000000000e+09,6.322548165650941909e-01,6.434078492382534487e-01
6.998136460000000000e+09,6.310501327406285998e-01,6.443483201706071695e-01
6.998143600000000000e+09,6.346937755188013508e-01,6.401509228443085231e-01
6.998150740000000000e+09,6.387621707881523392e-01,6.373592413760964526e-01
6.998157880000000000e+09,6.387697349180528894e-01,6.404325266441570630e-01
6.998165020000000000e+09,6.407530099802422052e-01,6.372029148303512969e-01
6.998172160000000000e+09,6.416629634914177149e-01,6.346301510356479048e-01
6.998179300000000000e+09,6.462043098175339617e-01,6.343595334662616159e-01
6.998186440000000000e+09,6.455002683032662336e-01,6.329393645279038916e-01
6.998193580000000000e+09,6.427876865919592841e-01,6.297982312926519999e-01
6.998200720000000000e+09,6.474469304240724199e-01,6.224963567174002232e-01
6.998207860000000000e+09,6.465332846445194237e-01,6.243496497038771853e-01
6.998215000000000000e+09,6.456050397183421552e-01,6.230704209466149113e-01
6.998222140000000000e+09,6.526819524601732425e-01,6.202915014244447800e-01
6.998229280000000000e+09,6.580407889008847988e-01,6.209271268204865635e-01
6.998236420000000000e+09,6.570966059430228823e-01,6.211775604559517383e-01
6.998243560000000000e+09,6.562831739369114903e-01,6.160802149682338413e-01
6.998250700000000000e+09,6.583699584706691477e-01,6.130306860975337502e-01
6.998257840000000000e+09,6.641328624393523228e-01,6.176001707624230175e-01
6.998264980000000000e+09,6.638043431327457222e-01,6.108783684966250238e-01
6.998272120000000000e+09,6.651997095624101464e-01,6.075458171441240340e-01
6.998279260000000000e+09,6.666085670631149984e-01,6.087109327242756773e-01
6.998286400000000000e+09,6.684012201025810729e-01,6.073040691628307508e-01
6.998293540000000000e+09,6.715413001212748867e-01,6.032529900881143936e-01
6.998300680000000000e+09,6.726388238332673408e-01,6.044476094654219755e-01
6.998307820000000000e+09,6.735654209822534710e-01,6.000888658844533152e-01
6.998314960000000000e+09,6.726457098278896263e-01,5.974075596948535960e-01
6.998322100000000000e+09,6.773482022442333106e-01,5.977937175686834914e-01
6.998329240000000000e+09,6.765491224406818827e-01,5.971542281348105607e-01
6.998336380000000000e+09,6.816940239430899773e-01,5.925141833585926276e-01
6.998343520000000000e+09,6.785500213553894433e-01,5.926053364422858571e-01
6.998350660000000000e+09,6.823997360599970419e-01,5.899122641220254648e-01
6.998357800000000000e+09,6.842401711432316569e-01,5.938961993209933565e-01
6.998364940000000000e+09,6.831825509757804005e-01,5.849711784987646768e-01
6.998372080000000000e+09,6.908497742308918887e-01,5.872904459741459249e-01
6.998379220000000000e+09,6.918976575725201972e-01,5.825440111969278911e-01
6.998386360000000000e+09,6.896177034308653697e-01,5.805145330205840892e-01
6.998393500000000000e+09,6.936533434809014631e-01,5.803234480498041803e-01
6.998400640000000000e+09,6.944292760809527287e-01,5.787728217045154944e-01
6.998407780000000000e+09,6.900038095740796962e-01,5.776162100328250393e-01
6.998414920000000000e+09,6.972876998775893176e-01,5.738293883942496842e-01
6.998422060000000000e+09,6.982171506751241319e-01,5.700537179165058310e-01
6.998429200000000000e+09,7.000561568717960093e-01,5.682541144915752573e-01
6.998436340000000000e+09,6.992827925189761817e-01,5.684160289550759249e-01
6.998443480000000000e+09,7.024415936696865037e-01,5.666182066761528136e-01
6.998450620000000000e+09,7.041644290082167412e-01,5.663045092454804808e-01
6.998457760000000000e+09,7.084346950796185372e-01,5.623895312850892836e-01
6.998464900000000000e+09,7.082618099802121536e-01,5.617094779219536926e-01
6.998472040000000000e+09,7.091131716767281601e-01,5.606513067962449748e-01
6.998479180000000000e+09,7.137104116163275336e-01,5.559680846417416333e-01
6.998486320000000000e+09,7.110670167671983011e-01,5.506801225734180294e-01
6.998493460000000000e+09,7.129205310300750220e-01,5.492974203390740273e-01
6.998500600000000000e+09,7.115845852770319446e-01,5.467770213174013572e-01
6.998507740000000000e+09,7.198718216871569098e-01,5.508243166084012543e-01
6.998514880000000000e+09,7.201745865854243256e-01,5.439266207681768828e-01
6.998522020000000000e+09,7.215887128046655219e-01,5.460571522776688225e-01
6.998529160000000000e+09,7.225986770552016436e-01,5.427286276576374080e-01
6.998536300000000000e+09,7.229837946383894653e-01,5.429429933237164274e-01
6.998543440000000000e+09,7.246938314631133915e-01,5.394654621394064931e-01
6.998550580000000000e+09,7.252549199951900949e-01,5.351928118135729218e-01
6.998557720000000000e+09,7.268445197026243143e-01,5.329271564141517814e-01
6.998564860000000000e+09,7.288498069162960835e-01,5.314185321101191350e-01
6.998572000000000000e+09,7.332510132317494600e-01,5.295109379943871986e-01
6.998579140000000000e+09,7.328215431488610543e-01,5.260023123434675041e-01
6.998586280000000000e+09,7.330727017098472853e-01,5.248930133499299933e-01
6.998593420000000000e+09,7.335069164122984819e-01,5.260623878251688978e-01
6.998600560000000000e+09,7.348683880657473910e-01,5.173158754641333790e-01
6.998607700000000000e+09,7.408130671712584991e-01,5.191043767698705347e-01
6.998614840000000000e+09,7.400868726011740062e-01,5.146315029119959972e-01
6.998621980000000000e+09,7.406709893751073359e-01,5.146681641290052900e-01
6.998629120000000000e+09,7.413024444601935548e-01,5.138130682649405534e-01
6.998636260000000000e+09,7.412321305199998100e-01,5.098478983993625091e-01
6.998643400000000000e+09,7.447684319052776392e-01,5.093292579551765842e-01
6.998650540000000000e+09,7.480978558622253249e-01,5.024140799715967054e-01
6.998657680000000000e+09,7.470102952171581157e-01,5.056084248870330589e-01
6.998664820000000000e+09,7.487821370632073981e-01,4.999789910933742920e-01
6.998671960000000000e+09,7.502322054858939770e-01,5.002108832887829371e-01
6.998679100000000000e+09,7.523274905259430545e-01,4.971016929549206820e-01
6.998686240000000000e+09,7.503526588096001149e-01,4.893262091601936481e-01
6.998693380000000000e+09,7.544945886571503557e-01,4.907354419215542163e-01
6.998700520000000000e+09,7.546795992566946998e-01,4.904284137726937498e-01
6.998707660000000000e+09,7.595768387984292991e-01,4.908246541607602098e-01
6.998714800000000000e+09,7.576819959201459564e-01,4.860099069396577876e-01
6.998721940000000000e+09,7.617890291865030417e-01,4.836586766221918077e-01
6.998729080000000000e+09,7.650917418292509931e-01,4.780149573416602737e-01
6.998736220000000000e+09,7.628197645018368611e-01,4.813886630278552681e-01
6.998743360000000000e+09,7.636440226305161172e-01,4.798154456656544276e-01
6.998750500000000000e+09,7.666263539619508904e-01,4.739221133033364453e-01
6.998757640000000000e+09,7.676318090928676563e-01,4.710777387653323212e-01
6.998764780000000000e+09,7.670370417189386059e-01,4.659199267230475505e-01
6.998771920000000000e+09,7.713305151619582745e-01,4.685537876225328580e-01
6.998779060000000000e+09,7.758200689780446746e-01,4.698090287465136461e-01
6.998786200000000000e+09,7.726490948501171241e-01,4.634440819496615238e-01
6.998793340000000000e+09,7.741317314399785987e-01,4.621305621239035211e-01
6.998800480000000000e+09,7.738156281256390878e-01,4.582683915173625944e-01
6.998807620000000000e+09,7.779074797766963867e-01,4.527828549300520478e-01
6.998814760000000000e+09,7.761349211213856014e-01,4.549823513515838247e-01
6.998821900000000000e+09,7.777702984235861372e-01,4.473832631722896580e-01
6.998829040000000000e+09,7.838944528375051402e-01,4.469616115131165301e-01
6.998836180000000000e+09,7.808707940779551215e-01,4.454581245994810867e-01
6.998843320000000000e+09,7.861865728609159776e-01,4.441704974769616898e-01
6.998850460000000000e+09,7.884102567293386210e-01,4.407275053736533499e-01
6.998857600000000000e+09,7.872133502003532124e-01,4.381464749819409255e-01
6.998864740000000000e+09,7.891300564704422094e-01,4.333133305442248839e-01
6.998871880000000000e+09,7.932517160825836022e-01,4.297071014019986368e-01
6.998879020000000000e+09,7.902730044072828752e-01,4.298441832877324398e-01
6.998886160000000000e+09,7.907949433676977335e-01,4.257218487129139084e-01
6.998893300000000000e+09,7.905841713863154263e-01,4.219331153000399626e-01
6.998900440000000000e+09,7.946788468313129572e-01,4.194084620593683810e-01
6.998907580000000000e+09,7.988535742706540654e-01,4.183367694946611426e-01
6.998914720000000000e+09,7.991093147578077760e-01,4.129733204885243647e-01
6.998921860000000000e+09,7.965956929832618272e-01,4.113295445527409000e-01
6.998929000000000000e+09,7.980537151471532864e-01,4.080845296518823551e-01
6.998936140000000000e+09,8.000354757116644455e-01,4.090337215902832835e-01
6.998943280000000000e+09,8.029023882749911634e-01,4.067834014758937577e-01
6.998950420000000000e+09,8.031758616734516742e-01,4.072635237087092741e-01
6.998957560000000000e+09,8.052785368836689051e-01,3.975193099873728375e-01
6.998964700000000000e+09,8.067006744604235946e-01,3.964033563495626411e-01
6.998971840000000000e+09,8.067615441639522933e-01,3.968187334485318019e-01
6.998978980000000000e+09,8.085248709965221492e-01,3.917734228148665454e-01
6.998986120000000000e+09,8.102586622185383725e-01,3.887486458474205819e-01
6.998993260000000000e+09,8.109118227803561174e-01,3.899985685005601943e-01
6.999000400000000000e+09,8.133150056547723272e-01,3.830626168245361840e-01
6.999007540000000000e+09,8.172717206772553977e-01,3.785675405878063948e-01
6.999014680000000000e+09,8.159296042018877593e-01,3.753675327548069429e-01
6.999021820000000000e+09,8.160665335037363688e-01,3.757749361784541442e-01
6.999028960000000000e+09,8.137853621245758617e-01,3.727964804925185116e-01
6.999036100000000000e+09,8.191295012731438785e-01,3.665050103174495311e-01
6.999043240000000000e+09,8.156493797911731347e-01,3.643196519139830780e-01
6.999050380000000000e+09,8.179068349139031469e-01,3.643811443929440563e-01
6.999057520000000000e+09,8.236092140705338904e-01,3.614663962052645507e-01
6.999064660000000000e+09,8.244801468024169910e-01,3.560040439154480429e-01
6.999071800000000000e+09,8.239280843325526016e-01,3.554916299573036009e-01
6.999078940000000000e+09,8.219605991224259167e-01,3.523252912008305593e-01
6.999086080000000000e+09,8.257827780768202119e-01,3.445270573728170804e-01
6.999093220000000000e+09,8.263048606488732073e-01,3.443575539855590617e-01
6.999100360000000000e+09,8.300646948077885501e-01,3.426767700895975710e-01
6.999107500000000000e+09,8.344267611397064854e-01,3.375411239822471710e-01
6.999114640000000000e+09,8.314568463977010104e-01,3.312256162293585326e-01
6.999121780000000000e+09,8.305672254849184588e-01,3.317286185978330360e-01
6.999128920000000000e+09,8.308785524003172718e-01,3.305644672021306740e-01
6.999136060000000000e+09,8.341919779803748103e-01,3.289606763470561135e-01
6.999143200000000000e+09,8.350255415492090494e-01,3.181313071927530101e-01
6.999150340000000000e+09,8.341412366981784121e-01,3.244254015834364679e-01
6.999157480000000000e+09,8.377320414451405739e-01,3.136026914997047110e-01
6.999164620000000000e+09,8.362421791289845752e-01,3.144008532285240687e-01
6.999171760000000000e+09,8.418022120185827406e-01,3.115564029092705023e-01
6.999178900000000000e+09,8.427262887426938409e-01,3.076256726450788404e-01
6.999186040000000000e+09,8.437821465385387798e-01,3.025004118396460440e-01
6.999193180000000000e+09,8.416645178503959768e-01,2.963891323948583678e-01
